1. first: 2, last: 1 -> 21
2. first: 9, last: 9 -> 99
3. first: 1, last: 9 -> 19
4. first: 7, last: 1 -> 71
5. first: 4, last: 4 -> 44
6. first: 6, last: 6 -> 66
7. first: 8, last: 4 -> 84
8. first: 1, last: 8 -> 18
9. first: 9, last: 4 -> 94
10. first: 5, last: 5 -> 55
11. first: 1, last: 1 -> 11
12. first: 9, last: 1 -> 91
13. first: 7, last: 4 -> 74
14. first: 8, last: 8 -> 88
15. first: 4, last: 4 -> 44
16. first: 4, last: 8 -> 48
17. first: 6, last: 3 -> 63
18. first: 3, last: 4 -> 34
19. first: 6, last: 7 -> 67
20. first: 6, last: 6 -> 66
21. first: 3, last: 3 -> 33
22. first: 5, last: 5 -> 55
23. first: 1, last: 8 -> 18
24. first: 1, last: 4 -> 14
25. first: 4, last: 9 -> 49
26. first: 8, last: 9 -> 89
27. first: 2, last: 7 -> 27
28. first: 9, last: 9 -> 99
29. first: 7, last: 4 -> 74
30. first: 7, last: 7 -> 77
31. first: 9, last: 1 -> 91
32. first: 8, last: 7 -> 87
33. first: 4, last: 6 -> 46
34. first: 5, last: 9 -> 59
35. first: 6, last: 6 -> 66
36. first: 9, last: 8 -> 98
37. first: 6, last: 7 -> 67
38. first: 7, last: 2 -> 72
39. first: 6, last: 7 -> 67
40. first: 6, last: 2 -> 62
41. first: 6, last: 1 -> 61
42. first: 2, last: 5 -> 25
43. first: 5, last: 5 -> 55
44. first: 2, last: 4 -> 24
45. first: 6, last: 2 -> 62
46. first: 5, last: 5 -> 55
47. first: 3, last: 3 -> 33
48. first: 4, last: 4 -> 44
49. first: 1, last: 1 -> 11
50. first: 2, last: 9 -> 29
51. first: 5, last: 2 -> 52
52. first: 1, last: 1 -> 11
53. first: 9, last: 8 -> 98
54. first: 3, last: 7 -> 37
55. first: 9, last: 9 -> 99
56. first: 4, last: 1 -> 41
57. first: 9, last: 8 -> 98
58. first: 1, last: 4 -> 14
59. first: 5, last: 4 -> 54
60. first: 9, last: 3 -> 93
61. first: 5, last: 5 -> 55
62. first: 8, last: 7 -> 87
63. first: 2, last: 3 -> 23
64. first: 6, last: 7 -> 67
65. first: 5, last: 5 -> 55
66. first: 8, last: 8 -> 88
67. first: 8, last: 7 -> 87
68. first: 6, last: 8 -> 68
69. first: 8, last: 3 -> 83
70. first: 5, last: 8 -> 58
71. first: 6, last: 6 -> 66
72. first: 5, last: 5 -> 55
73. first: 8, last: 6 -> 86
74. first: 5, last: 4 -> 54
75. first: 8, last: 1 -> 81
76. first: 8, last: 8 -> 88
77. first: 6, last: 5 -> 65
78. first: 5, last: 5 -> 55
79. first: 2, last: 5 -> 25
80. first: 6, last: 8 -> 68
81. first: 4, last: 4 -> 44
82. first: 9, last: 2 -> 92
83. first: 6, last: 6 -> 66
84. first: 3, last: 3 -> 33
85. first: 9, last: 4 -> 94
86. first: 7, last: 8 -> 78
87. first: 9, last: 4 -> 94
88. first: 1, last: 1 -> 11
89. first: 3, last: 4 -> 34
90. first: 6, last: 8 -> 68
91. first: 1, last: 1 -> 11
92. first: 4, last: 3 -> 43
93. first: 3, last: 8 -> 38
94. first: 6, last: 7 -> 67
95. first: 1, last: 3 -> 13
96. first: 7, last: 1 -> 71
97. first: 7, last: 4 -> 74
98. first: 9, last: 9 -> 99
99. first: 7, last: 9 -> 79
100. first: 2, last: 2 -> 22
101. first: 9, last: 9 -> 99
102. first: 3, last: 1 -> 31
103. first: 5, last: 6 -> 56
104. first: 6, last: 9 -> 69
105. first: 7, last: 7 -> 77
106. first: 6, last: 3 -> 63
107. first: 4, last: 4 -> 44
108. first: 1, last: 5 -> 15
109. first: 2, last: 2 -> 22
110. first: 3, last: 3 -> 33
111. first: 1, last: 2 -> 12
112. first: 1, last: 7 -> 17
113. first: 9, last: 5 -> 95
114. first: 8, last: 4 -> 84
115. first: 6, last: 5 -> 65
116. first: 9, last: 3 -> 93
117. first: 6, last: 5 -> 65
118. first: 1, last: 1 -> 11
119. first: 8, last: 8 -> 88
