1. first: 2, last: 1 -> 21
2. first: 6, last: 9 -> 69
3. first: 3, last: 9 -> 39
4. first: 7, last: 4 -> 74
5. first: 4, last: 5 -> 45
6. first: 8, last: 6 -> 86
7. first: 8, last: 4 -> 84
8. first: 6, last: 2 -> 62
9. first: 2, last: 7 -> 27
10. first: 5, last: 6 -> 56
11. first: 3, last: 2 -> 32
12. first: 5, last: 1 -> 51
13. first: 7, last: 5 -> 75
14. first: 7, last: 3 -> 73
15. first: 4, last: 8 -> 48
16. first: 1, last: 8 -> 18
17. first: 2, last: 3 -> 23
18. first: 3, last: 5 -> 35
19. first: 1, last: 7 -> 17
20. first: 6, last: 6 -> 66
21. first: 3, last: 3 -> 33
22. first: 1, last: 5 -> 15
23. first: 1, last: 8 -> 18
24. first: 1, last: 4 -> 14
25. first: 9, last: 5 -> 95
26. first: 8, last: 2 -> 82
27. first: 8, last: 2 -> 82
28. first: 5, last: 9 -> 59
29. first: 3, last: 4 -> 34
30. first: 7, last: 9 -> 79
31. first: 4, last: 1 -> 41
32. first: 8, last: 4 -> 84
33. first: 4, last: 6 -> 46
34. first: 7, last: 6 -> 76
35. first: 6, last: 5 -> 65
36. first: 7, last: 8 -> 78
37. first: 6, last: 7 -> 67
38. first: 7, last: 2 -> 72
39. first: 6, last: 7 -> 67
40. first: 6, last: 2 -> 62
41. first: 6, last: 8 -> 68
42. first: 4, last: 5 -> 45
43. first: 2, last: 5 -> 25
44. first: 1, last: 4 -> 14
45. first: 6, last: 6 -> 66
46. first: 5, last: 5 -> 55
47. first: 9, last: 3 -> 93
48. first: 4, last: 4 -> 44
49. first: 1, last: 3 -> 13
50. first: 2, last: 9 -> 29
51. first: 7, last: 2 -> 72
52. first: 5, last: 2 -> 52
53. first: 9, last: 8 -> 98
54. first: 3, last: 5 -> 35
55. first: 4, last: 1 -> 41
56. first: 4, last: 1 -> 41
57. first: 9, last: 3 -> 93
58. first: 9, last: 4 -> 94
59. first: 5, last: 8 -> 58
60. first: 9, last: 1 -> 91
61. first: 5, last: 2 -> 52
62. first: 8, last: 7 -> 87
63. first: 2, last: 3 -> 23
64. first: 2, last: 5 -> 25
65. first: 5, last: 5 -> 55
66. first: 5, last: 8 -> 58
67. first: 8, last: 7 -> 87
68. first: 6, last: 8 -> 68
69. first: 8, last: 3 -> 83
70. first: 9, last: 8 -> 98
71. first: 8, last: 6 -> 86
72. first: 7, last: 4 -> 74
73. first: 2, last: 6 -> 26
74. first: 2, last: 6 -> 26
75. first: 7, last: 1 -> 71
76. first: 5, last: 8 -> 58
77. first: 6, last: 2 -> 62
78. first: 6, last: 4 -> 64
79. first: 2, last: 5 -> 25
80. first: 6, last: 8 -> 68
81. first: 2, last: 4 -> 24
82. first: 9, last: 2 -> 92
83. first: 6, last: 6 -> 66
84. first: 6, last: 3 -> 63
85. first: 9, last: 4 -> 94
86. first: 1, last: 8 -> 18
87. first: 5, last: 4 -> 54
88. first: 1, last: 1 -> 11
89. first: 6, last: 3 -> 63
90. first: 8, last: 4 -> 84
91. first: 3, last: 1 -> 31
92. first: 4, last: 3 -> 43
93. first: 3, last: 8 -> 38
94. first: 6, last: 7 -> 67
95. first: 1, last: 3 -> 13
96. first: 7, last: 1 -> 71
97. first: 7, last: 3 -> 73
98. first: 9, last: 1 -> 91
99. first: 7, last: 4 -> 74
100. first: 1, last: 9 -> 19
101. first: 9, last: 2 -> 92
102. first: 3, last: 1 -> 31
103. first: 5, last: 6 -> 56
104. first: 6, last: 7 -> 67
105. first: 7, last: 5 -> 75
106. first: 4, last: 3 -> 43
107. first: 4, last: 3 -> 43
108. first: 1, last: 8 -> 18
109. first: 2, last: 2 -> 22
110. first: 3, last: 9 -> 39
111. first: 3, last: 2 -> 32
112. first: 2, last: 5 -> 25
113. first: 9, last: 5 -> 95
114. first: 9, last: 4 -> 94
115. first: 9, last: 5 -> 95
116. first: 9, last: 3 -> 93
117. first: 6, last: 5 -> 65
118. first: 1, last: 1 -> 11
119. first: 8, last: 8 -> 88
120. first: 6, last: 8 -> 68
121. first: 9, last: 1 -> 91
122. first: 5, last: 2 -> 52
123. first: 6, last: 4 -> 64
124. first: 1, last: 3 -> 13
125. first: 3, last: 1 -> 31
126. first: 8, last: 8 -> 88
127. first: 2, last: 2 -> 22
128. first: 3, last: 3 -> 33
129. first: 3, last: 3 -> 33
130. first: 8, last: 1 -> 81
131. first: 9, last: 1 -> 91
132. first: 3, last: 8 -> 38
133. first: 8, last: 8 -> 88
134. first: 6, last: 1 -> 61
135. first: 8, last: 4 -> 84
136. first: 7, last: 7 -> 77
137. first: 6, last: 2 -> 62
138. first: 2, last: 8 -> 28
139. first: 7, last: 6 -> 76
140. first: 1, last: 1 -> 11
141. first: 1, last: 7 -> 17
142. first: 6, last: 9 -> 69
143. first: 7, last: 7 -> 77
144. first: 4, last: 5 -> 45
145. first: 1, last: 2 -> 12
146. first: 5, last: 1 -> 51
147. first: 6, last: 5 -> 65
148. first: 2, last: 7 -> 27
149. first: 7, last: 1 -> 71
150. first: 4, last: 5 -> 45
151. first: 7, last: 6 -> 76
152. first: 3, last: 5 -> 35
153. first: 8, last: 9 -> 89
154. first: 9, last: 6 -> 96
155. first: 4, last: 1 -> 41
156. first: 1, last: 5 -> 15
157. first: 9, last: 2 -> 92
158. first: 3, last: 6 -> 36
159. first: 1, last: 5 -> 15
160. first: 6, last: 2 -> 62
161. first: 3, last: 3 -> 33
162. first: 9, last: 9 -> 99
163. first: 7, last: 8 -> 78
164. first: 4, last: 4 -> 44
165. first: 7, last: 1 -> 71
166. first: 2, last: 4 -> 24
167. first: 6, last: 5 -> 65
168. first: 3, last: 7 -> 37
169. first: 8, last: 8 -> 88
170. first: 1, last: 6 -> 16
171. first: 2, last: 2 -> 22
172. first: 8, last: 7 -> 87
173. first: 9, last: 5 -> 95
174. first: 6, last: 8 -> 68
175. first: 6, last: 8 -> 68
176. first: 9, last: 5 -> 95
177. first: 8, last: 8 -> 88
178. first: 9, last: 1 -> 91
179. first: 6, last: 8 -> 68
180. first: 5, last: 4 -> 54
181. first: 3, last: 7 -> 37
182. first: 4, last: 1 -> 41
183. first: 7, last: 3 -> 73
184. first: 6, last: 8 -> 68
185. first: 6, last: 9 -> 69
186. first: 1, last: 6 -> 16
187. first: 9, last: 5 -> 95
188. first: 3, last: 6 -> 36
189. first: 2, last: 8 -> 28
190. first: 9, last: 9 -> 99
191. first: 2, last: 3 -> 23
192. first: 7, last: 4 -> 74
193. first: 8, last: 7 -> 87
194. first: 7, last: 2 -> 72
195. first: 7, last: 7 -> 77
196. first: 3, last: 2 -> 32
197. first: 1, last: 9 -> 19
198. first: 8, last: 1 -> 81
199. first: 5, last: 2 -> 52
200. first: 6, last: 5 -> 65
201. first: 6, last: 2 -> 62
202. first: 1, last: 1 -> 11
203. first: 6, last: 6 -> 66
204. first: 7, last: 9 -> 79
205. first: 9, last: 7 -> 97
206. first: 9, last: 9 -> 99
207. first: 8, last: 4 -> 84
208. first: 5, last: 6 -> 56
209. first: 5, last: 7 -> 57
210. first: 9, last: 1 -> 91
211. first: 1, last: 2 -> 12
212. first: 1, last: 6 -> 16
213. first: 5, last: 6 -> 56
214. first: 8, last: 5 -> 85
215. first: 4, last: 2 -> 42
216. first: 9, last: 8 -> 98
217. first: 4, last: 3 -> 43
218. first: 5, last: 8 -> 58
219. first: 8, last: 4 -> 84
220. first: 6, last: 7 -> 67
221. first: 9, last: 7 -> 97
222. first: 7, last: 2 -> 72
223. first: 9, last: 4 -> 94
224. first: 2, last: 2 -> 22
225. first: 4, last: 9 -> 49
226. first: 3, last: 8 -> 38
227. first: 6, last: 6 -> 66
228. first: 3, last: 1 -> 31
229. first: 5, last: 9 -> 59
230. first: 3, last: 1 -> 31
231. first: 9, last: 1 -> 91
232. first: 4, last: 3 -> 43
233. first: 6, last: 3 -> 63
234. first: 7, last: 4 -> 74
235. first: 3, last: 8 -> 38
236. first: 7, last: 9 -> 79
237. first: 7, last: 2 -> 72
238. first: 8, last: 3 -> 83
239. first: 4, last: 4 -> 44
240. first: 4, last: 8 -> 48
241. first: 6, last: 2 -> 62
242. first: 8, last: 7 -> 87
243. first: 2, last: 7 -> 27
244. first: 4, last: 2 -> 42
245. first: 5, last: 2 -> 52
246. first: 5, last: 6 -> 56
247. first: 8, last: 8 -> 88
248. first: 3, last: 4 -> 34
249. first: 8, last: 7 -> 87
250. first: 1, last: 3 -> 13
251. first: 3, last: 8 -> 38
252. first: 9, last: 9 -> 99
253. first: 1, last: 8 -> 18
254. first: 4, last: 8 -> 48
255. first: 5, last: 5 -> 55
256. first: 1, last: 8 -> 18
257. first: 7, last: 6 -> 76
258. first: 2, last: 9 -> 29
259. first: 8, last: 7 -> 87
260. first: 5, last: 5 -> 55
261. first: 1, last: 6 -> 16
262. first: 2, last: 3 -> 23
263. first: 6, last: 6 -> 66
264. first: 4, last: 5 -> 45
265. first: 4, last: 5 -> 45
266. first: 2, last: 2 -> 22
267. first: 7, last: 9 -> 79
268. first: 6, last: 1 -> 61
269. first: 6, last: 3 -> 63
270. first: 1, last: 9 -> 19
271. first: 7, last: 1 -> 71
272. first: 6, last: 4 -> 64
273. first: 7, last: 6 -> 76
274. first: 8, last: 4 -> 84
275. first: 2, last: 2 -> 22
276. first: 8, last: 2 -> 82
277. first: 1, last: 1 -> 11
278. first: 5, last: 8 -> 58
279. first: 1, last: 6 -> 16
280. first: 7, last: 8 -> 78
281. first: 7, last: 7 -> 77
282. first: 3, last: 3 -> 33
283. first: 8, last: 3 -> 83
284. first: 6, last: 7 -> 67
285. first: 7, last: 7 -> 77
286. first: 8, last: 9 -> 89
287. first: 9, last: 1 -> 91
288. first: 3, last: 1 -> 31
289. first: 5, last: 6 -> 56
290. first: 3, last: 6 -> 36
291. first: 6, last: 6 -> 66
292. first: 4, last: 4 -> 44
293. first: 5, last: 1 -> 51
294. first: 3, last: 9 -> 39
295. first: 5, last: 8 -> 58
296. first: 2, last: 4 -> 24
297. first: 4, last: 9 -> 49
298. first: 3, last: 4 -> 34
299. first: 6, last: 3 -> 63
300. first: 6, last: 8 -> 68
301. first: 6, last: 3 -> 63
302. first: 6, last: 5 -> 65
303. first: 2, last: 1 -> 21
304. first: 1, last: 1 -> 11
305. first: 7, last: 3 -> 73
306. first: 4, last: 8 -> 48
307. first: 3, last: 7 -> 37
308. first: 1, last: 9 -> 19
309. first: 5, last: 1 -> 51
310. first: 5, last: 8 -> 58
311. first: 3, last: 4 -> 34
312. first: 8, last: 9 -> 89
313. first: 8, last: 4 -> 84
314. first: 8, last: 2 -> 82
315. first: 3, last: 3 -> 33
316. first: 5, last: 7 -> 57
317. first: 9, last: 8 -> 98
318. first: 7, last: 2 -> 72
319. first: 8, last: 6 -> 86
320. first: 4, last: 6 -> 46
321. first: 3, last: 3 -> 33
322. first: 6, last: 3 -> 63
323. first: 1, last: 8 -> 18
324. first: 2, last: 8 -> 28
325. first: 2, last: 4 -> 24
326. first: 7, last: 1 -> 71
327. first: 5, last: 7 -> 57
328. first: 3, last: 5 -> 35
329. first: 1, last: 9 -> 19
330. first: 1, last: 5 -> 15
331. first: 8, last: 4 -> 84
332. first: 7, last: 7 -> 77
333. first: 5, last: 4 -> 54
334. first: 8, last: 2 -> 82
335. first: 4, last: 8 -> 48
336. first: 8, last: 9 -> 89
337. first: 8, last: 3 -> 83
338. first: 2, last: 3 -> 23
339. first: 5, last: 1 -> 51
340. first: 1, last: 4 -> 14
341. first: 8, last: 7 -> 87
342. first: 3, last: 5 -> 35
343. first: 9, last: 6 -> 96
344. first: 1, last: 9 -> 19
345. first: 7, last: 2 -> 72
346. first: 1, last: 8 -> 18
347. first: 2, last: 9 -> 29
348. first: 3, last: 6 -> 36
349. first: 8, last: 7 -> 87
350. first: 2, last: 1 -> 21
351. first: 5, last: 9 -> 59
352. first: 8, last: 2 -> 82
353. first: 7, last: 2 -> 72
354. first: 6, last: 2 -> 62
355. first: 3, last: 5 -> 35
356. first: 8, last: 6 -> 86
357. first: 7, last: 2 -> 72
358. first: 8, last: 2 -> 82
359. first: 4, last: 8 -> 48
360. first: 3, last: 5 -> 35
361. first: 9, last: 5 -> 95
362. first: 2, last: 5 -> 25
363. first: 5, last: 4 -> 54
364. first: 2, last: 4 -> 24
365. first: 2, last: 2 -> 22
366. first: 4, last: 7 -> 47
367. first: 3, last: 7 -> 37
368. first: 7, last: 2 -> 72
369. first: 7, last: 6 -> 76
370. first: 9, last: 3 -> 93
371. first: 3, last: 3 -> 33
372. first: 3, last: 5 -> 35
373. first: 7, last: 5 -> 75
374. first: 7, last: 5 -> 75
375. first: 8, last: 4 -> 84
376. first: 2, last: 6 -> 26
377. first: 5, last: 7 -> 57
378. first: 4, last: 7 -> 47
379. first: 7, last: 2 -> 72
380. first: 4, last: 2 -> 42
381. first: 9, last: 7 -> 97
382. first: 6, last: 7 -> 67
383. first: 8, last: 7 -> 87
384. first: 9, last: 9 -> 99
385. first: 3, last: 7 -> 37
386. first: 9, last: 4 -> 94
387. first: 6, last: 1 -> 61
388. first: 6, last: 4 -> 64
389. first: 3, last: 5 -> 35
390. first: 1, last: 9 -> 19
391. first: 3, last: 1 -> 31
392. first: 5, last: 7 -> 57
393. first: 6, last: 2 -> 62
394. first: 3, last: 2 -> 32
395. first: 6, last: 4 -> 64
396. first: 3, last: 6 -> 36
397. first: 1, last: 2 -> 12
398. first: 2, last: 7 -> 27
399. first: 6, last: 3 -> 63
400. first: 3, last: 1 -> 31
401. first: 9, last: 5 -> 95
402. first: 8, last: 8 -> 88
403. first: 4, last: 7 -> 47
404. first: 7, last: 2 -> 72
405. first: 5, last: 5 -> 55
406. first: 2, last: 5 -> 25
407. first: 4, last: 4 -> 44
408. first: 7, last: 2 -> 72
409. first: 9, last: 2 -> 92
410. first: 3, last: 2 -> 32
411. first: 1, last: 6 -> 16
412. first: 8, last: 4 -> 84
413. first: 4, last: 2 -> 42
414. first: 8, last: 2 -> 82
415. first: 3, last: 3 -> 33
416. first: 4, last: 4 -> 44
417. first: 6, last: 1 -> 61
418. first: 8, last: 8 -> 88
419. first: 9, last: 4 -> 94
420. first: 7, last: 6 -> 76
421. first: 1, last: 9 -> 19
422. first: 5, last: 4 -> 54
423. first: 1, last: 6 -> 16
424. first: 4, last: 8 -> 48
425. first: 1, last: 3 -> 13
426. first: 4, last: 6 -> 46
427. first: 2, last: 9 -> 29
428. first: 2, last: 6 -> 26
429. first: 6, last: 2 -> 62
430. first: 4, last: 4 -> 44
431. first: 4, last: 6 -> 46
432. first: 1, last: 6 -> 16
433. first: 9, last: 1 -> 91
434. first: 2, last: 4 -> 24
435. first: 8, last: 1 -> 81
436. first: 4, last: 3 -> 43
