Game 1: Red -> 5, Blue -> 11, Green -> 16, Power: 880
Game 2: Red -> 20, Blue -> 13, Green -> 15, Power: 3900
Game 3: Red -> 10, Blue -> 13, Green -> 7, Power: 910
Game 4: Red -> 14, Blue -> 18, Green -> 13, Power: 3276
Game 5: Red -> 9, Blue -> 8, Green -> 3, Power: 216
Game 6: Red -> 6, Blue -> 11, Green -> 3, Power: 198
Game 7: Red -> 8, Blue -> 12, Green -> 4, Power: 384
Game 8: Red -> 10, Blue -> 1, Green -> 4, Power: 40
Game 9: Red -> 4, Blue -> 13, Green -> 14, Power: 728
Game 10: Red -> 16, Blue -> 6, Green -> 3, Power: 288
Game 11: Red -> 11, Blue -> 12, Green -> 15, Power: 1980
Game 12: Red -> 2, Blue -> 5, Green -> 7, Power: 70
Game 13: Red -> 3, Blue -> 3, Green -> 3, Power: 27
Game 14: Red -> 10, Blue -> 18, Green -> 11, Power: 1980
Game 15: Red -> 11, Blue -> 20, Green -> 18, Power: 3960
Game 16: Red -> 1, Blue -> 9, Green -> 11, Power: 99
Game 17: Red -> 5, Blue -> 8, Green -> 4, Power: 160
Game 18: Red -> 7, Blue -> 3, Green -> 6, Power: 126
Game 19: Red -> 6, Blue -> 5, Green -> 13, Power: 390
Game 20: Red -> 8, Blue -> 17, Green -> 7, Power: 952
Game 21: Red -> 8, Blue -> 3, Green -> 8, Power: 192
Game 22: Red -> 7, Blue -> 2, Green -> 6, Power: 84
Game 23: Red -> 3, Blue -> 3, Green -> 16, Power: 144
Game 24: Red -> 16, Blue -> 5, Green -> 19, Power: 1520
Game 25: Red -> 3, Blue -> 7, Green -> 9, Power: 189
Game 26: Red -> 20, Blue -> 8, Green -> 3, Power: 480
Game 27: Red -> 19, Blue -> 6, Green -> 17, Power: 1938
Game 28: Red -> 12, Blue -> 1, Green -> 8, Power: 96
Game 29: Red -> 3, Blue -> 3, Green -> 4, Power: 36
Game 30: Red -> 3, Blue -> 17, Green -> 19, Power: 969
Game 31: Red -> 14, Blue -> 11, Green -> 19, Power: 2926
Game 32: Red -> 9, Blue -> 4, Green -> 7, Power: 252
Game 33: Red -> 17, Blue -> 13, Green -> 14, Power: 3094
Game 34: Red -> 2, Blue -> 8, Green -> 3, Power: 48
Game 35: Red -> 4, Blue -> 15, Green -> 2, Power: 120
Game 36: Red -> 8, Blue -> 15, Green -> 2, Power: 240
Game 37: Red -> 5, Blue -> 2, Green -> 8, Power: 80
Game 38: Red -> 11, Blue -> 5, Green -> 7, Power: 385
Game 39: Red -> 10, Blue -> 11, Green -> 9, Power: 990
Game 40: Red -> 16, Blue -> 14, Green -> 1, Power: 224
Game 41: Red -> 10, Blue -> 2, Green -> 6, Power: 120
Game 42: Red -> 15, Blue -> 11, Green -> 17, Power: 2805
Game 43: Red -> 1, Blue -> 3, Green -> 2, Power: 6
Game 44: Red -> 6, Blue -> 2, Green -> 7, Power: 84
Game 45: Red -> 16, Blue -> 16, Green -> 19, Power: 4864
Game 46: Red -> 4, Blue -> 12, Green -> 3, Power: 144
Game 47: Red -> 6, Blue -> 4, Green -> 12, Power: 288
Game 48: Red -> 9, Blue -> 11, Green -> 11, Power: 1089
Game 49: Red -> 5, Blue -> 2, Green -> 8, Power: 80
Game 50: Red -> 9, Blue -> 8, Green -> 2, Power: 144
Game 51: Red -> 2, Blue -> 9, Green -> 6, Power: 108
Game 52: Red -> 12, Blue -> 12, Green -> 10, Power: 1440
Game 53: Red -> 6, Blue -> 9, Green -> 3, Power: 162
Game 54: Red -> 12, Blue -> 16, Green -> 4, Power: 768
Game 55: Red -> 1, Blue -> 5, Green -> 3, Power: 15
Game 56: Red -> 4, Blue -> 5, Green -> 13, Power: 260
Game 57: Red -> 4, Blue -> 14, Green -> 7, Power: 392
Game 58: Red -> 6, Blue -> 1, Green -> 13, Power: 78
Game 59: Red -> 10, Blue -> 8, Green -> 6, Power: 480
Game 60: Red -> 6, Blue -> 15, Green -> 8, Power: 720
Game 61: Red -> 4, Blue -> 10, Green -> 5, Power: 200
Game 62: Red -> 15, Blue -> 20, Green -> 14, Power: 4200
Game 63: Red -> 18, Blue -> 1, Green -> 7, Power: 126
Game 64: Red -> 6, Blue -> 1, Green -> 5, Power: 30
Game 65: Red -> 7, Blue -> 1, Green -> 7, Power: 49
Game 66: Red -> 9, Blue -> 6, Green -> 7, Power: 378
Game 67: Red -> 19, Blue -> 10, Green -> 20, Power: 3800
Game 68: Red -> 6, Blue -> 11, Green -> 9, Power: 594
Game 69: Red -> 4, Blue -> 18, Green -> 4, Power: 288
Game 70: Red -> 8, Blue -> 3, Green -> 13, Power: 312
Game 71: Red -> 17, Blue -> 4, Green -> 3, Power: 204
Game 72: Red -> 3, Blue -> 17, Green -> 16, Power: 816
Game 73: Red -> 13, Blue -> 10, Green -> 19, Power: 2470
Game 74: Red -> 10, Blue -> 17, Green -> 10, Power: 1700
Game 75: Red -> 7, Blue -> 10, Green -> 10, Power: 700
Game 76: Red -> 16, Blue -> 20, Green -> 13, Power: 4160
Game 77: Red -> 4, Blue -> 8, Green -> 7, Power: 224
Game 78: Red -> 9, Blue -> 16, Green -> 17, Power: 2448
Game 79: Red -> 15, Blue -> 3, Green -> 5, Power: 225
Game 80: Red -> 13, Blue -> 6, Green -> 7, Power: 546
Game 81: Red -> 12, Blue -> 16, Green -> 5, Power: 960
Game 82: Red -> 1, Blue -> 10, Green -> 1, Power: 10
Game 83: Red -> 5, Blue -> 2, Green -> 1, Power: 10
Game 84: Red -> 5, Blue -> 14, Green -> 12, Power: 840
Game 85: Red -> 14, Blue -> 5, Green -> 6, Power: 420
Game 86: Red -> 18, Blue -> 9, Green -> 3, Power: 486
Game 87: Red -> 12, Blue -> 13, Green -> 3, Power: 468
Game 88: Red -> 7, Blue -> 6, Green -> 10, Power: 420
Game 89: Red -> 15, Blue -> 10, Green -> 15, Power: 2250
Game 90: Red -> 3, Blue -> 1, Green -> 17, Power: 51
Game 91: Red -> 9, Blue -> 12, Green -> 8, Power: 864
Game 92: Red -> 14, Blue -> 11, Green -> 12, Power: 1848
Game 93: Red -> 1, Blue -> 3, Green -> 6, Power: 18
Game 94: Red -> 3, Blue -> 9, Green -> 14, Power: 378
Game 95: Red -> 12, Blue -> 7, Green -> 10, Power: 840
Game 96: Red -> 15, Blue -> 3, Green -> 18, Power: 810
Game 97: Red -> 4, Blue -> 15, Green -> 1, Power: 60
Game 98: Red -> 10, Blue -> 11, Green -> 1, Power: 110
Game 99: Red -> 8, Blue -> 4, Green -> 16, Power: 512
Game 100: Red -> 4, Blue -> 11, Green -> 6, Power: 264
Answer: 83707
